Dia,Tratamiento,Peso_g,Peso_Anterior_g,Ganancia_Peso_g,Peso_Inicial_Promedio_g,Peso_Final_Promedio_g,Conversion_Alimenticia_Global
9,T0R4,40,3330.0,-3290.0,39.4,3363.45,1.739702283014571
9,T0R4,120,40.0,80.0,39.4,3363.45,1.739702283014571
9,T0R4,325,120.0,205.0,39.4,3363.45,1.739702283014571
9,T0R4,740,325.0,415.0,39.4,3363.45,1.739702283014571
9,T0R4,1205,740.0,465.0,39.4,3363.45,1.739702283014571
9,T0R4,1750,1205.0,545.0,39.4,3363.45,1.739702283014571
9,T0R4,2390,1750.0,640.0,39.4,3363.45,1.739702283014571
9,T0R4,3310,2390.0,920.0,39.4,3363.45,1.739702283014571
10,T0R4,40,3310.0,-3270.0,39.4,3363.45,1.739702283014571
10,T0R4,115,40.0,75.0,39.4,3363.45,1.739702283014571
10,T0R4,330,115.0,215.0,39.4,3363.45,1.739702283014571
10,T0R4,730,330.0,400.0,39.4,3363.45,1.739702283014571
1,T0R5,35,,,39.4,3363.45,1.739702283014571
1,T0R5,130,35.0,95.0,39.4,3363.45,1.739702283014571
1,T0R5,350,130.0,220.0,39.4,3363.45,1.739702283014571
1,T0R5,760,350.0,410.0,39.4,3363.45,1.739702283014571
1,T0R5,1240,760.0,480.0,39.4,3363.45,1.739702283014571
1,T0R5,1830,1240.0,590.0,39.4,3363.45,1.739702283014571
1,T0R5,2390,1830.0,560.0,39.4,3363.45,1.739702283014571
1,T0R5,3320,2390.0,930.0,39.4,3363.45,1.739702283014571
2,T0R5,35,3320.0,-3285.0,39.4,3363.45,1.739702283014571
2,T0R5,120,35.0,85.0,39.4,3363.45,1.739702283014571
2,T0R5,390,120.0,270.0,39.4,3363.45,1.739702283014571
2,T0R5,740,390.0,350.0,39.4,3363.45,1.739702283014571
2,T0R5,1340,740.0,600.0,39.4,3363.45,1.739702283014571
2,T0R5,2070,1340.0,730.0,39.4,3363.45,1.739702283014571
2,T0R5,2345,2070.0,275.0,39.4,3363.45,1.739702283014571
2,T0R5,3360,2345.0,1015.0,39.4,3363.45,1.739702283014571
3,T0R5,40,3360.0,-3320.0,39.4,3363.45,1.739702283014571
3,T0R5,100,40.0,60.0,39.4,3363.45,1.739702283014571
3,T0R5,345,100.0,245.0,39.4,3363.45,1.739702283014571
3,T0R5,860,345.0,515.0,39.4,3363.45,1.739702283014571
3,T0R5,1310,860.0,450.0,39.4,3363.45,1.739702283014571
3,T0R5,1780,1310.0,470.0,39.4,3363.45,1.739702283014571
3,T0R5,2365,1780.0,585.0,39.4,3363.45,1.739702283014571
3,T0R5,3400,2365.0,1035.0,39.4,3363.45,1.739702283014571
4,T0R5,40,3400.0,-3360.0,39.4,3363.45,1.739702283014571
4,T0R5,120,40.0,80.0,39.4,3363.45,1.739702283014571
4,T0R5,375,120.0,255.0,39.4,3363.45,1.739702283014571
4,T0R5,785,375.0,410.0,39.4,3363.45,1.739702283014571
4,T0R5,1210,785.0,425.0,39.4,3363.45,1.739702283014571
4,T0R5,2125,1210.0,915.0,39.4,3363.45,1.739702283014571
4,T0R5,2345,2125.0,220.0,39.4,3363.45,1.739702283014571
4,T0R5,3485,2345.0,1140.0,39.4,3363.45,1.739702283014571
5,T0R5,40,3485.0,-3445.0,39.4,3363.45,1.739702283014571
5,T0R5,130,40.0,90.0,39.4,3363.45,1.739702283014571
5,T0R5,370,130.0,240.0,39.4,3363.45,1.739702283014571
5,T0R5,750,370.0,380.0,39.4,3363.45,1.739702283014571
5,T0R5,1265,750.0,515.0,39.4,3363.45,1.739702283014571
5,T0R5,1810,1265.0,545.0,39.4,3363.45,1.739702283014571
5,T0R5,2358,1810.0,548.0,39.4,3363.45,1.739702283014571
5,T0R5,3475,2358.0,1117.0,39.4,3363.45,1.739702283014571
6,T0R5,40,3475.0,-3435.0,39.4,3363.45,1.739702283014571
6,T0R5,100,40.0,60.0,39.4,3363.45,1.739702283014571
6,T0R5,330,100.0,230.0,39.4,3363.45,1.739702283014571
6,T0R5,775,330.0,445.0,39.4,3363.45,1.739702283014571
6,T0R5,1230,775.0,455.0,39.4,3363.45,1.739702283014571
6,T0R5,1780,1230.0,550.0,39.4,3363.45,1.739702283014571
6,T0R5,2385,1780.0,605.0,39.4,3363.45,1.739702283014571
6,T0R5,3338,2385.0,953.0,39.4,3363.45,1.739702283014571
7,T0R5,40,3338.0,-3298.0,39.4,3363.45,1.739702283014571
7,T0R5,140,40.0,100.0,39.4,3363.45,1.739702283014571
7,T0R5,395,140.0,255.0,39.4,3363.45,1.739702283014571
7,T0R5,800,395.0,405.0,39.4,3363.45,1.739702283014571
7,T0R5,1475,800.0,675.0,39.4,3363.45,1.739702283014571
7,T0R5,1705,1475.0,230.0,39.4,3363.45,1.739702283014571
7,T0R5,2395,1705.0,690.0,39.4,3363.45,1.739702283014571
